RowNumber,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Card Type,Point Earned,Exited
151,848,Spain,Male,40,3,110929.96,1,1,1,30876.84,0,3,GOLD,844,0
152,439,Spain,Female,32,3,138901.61,1,1,0,75685.97,0,4,DIAMOND,913,0
153,701,Spain,Male,36,8,0,2,1,0,169161.46,0,2,DIAMOND,689,0
154,607,Spain,Female,33,2,108431.87,2,0,1,109291.39,1,5,PLATINUM,647,1
155,586,Spain,Female,57,3,0,2,0,1,6057.81,0,4,PLATINUM,839,0
156,621,Spain,Male,53,9,170491.84,1,1,0,35588.07,1,3,PLATINUM,777,1
157,519,Spain,Female,47,6,157296.02,2,0,0,147278.43,1,1,PLATINUM,934,1
158,630,Spain,Male,32,4,82034,1,0,0,146326.45,0,5,GOLD,708,0
159,779,Spain,Female,26,4,174318.13,2,0,1,38296.21,0,2,PLATINUM,625,0
160,685,Spain,Male,43,9,0,2,1,0,107811.28,0,4,SILVER,808,0
161,762,Spain,Female,26,7,123709.46,2,1,1,169654.57,0,4,PLATINUM,669,0
162,667,Spain,Male,38,1,87202.38,1,1,1,77866.91,0,5,PLATINUM,955,0
163,727,Spain,Female,31,0,0,1,1,0,121751.04,1,2,SILVER,274,1
164,754,Spain,Male,39,6,170184.99,2,1,0,89593.26,0,2,DIAMOND,380,0
165,546,Spain,Male,42,7,139070.51,1,1,1,86945,0,3,DIAMOND,451,0
166,673,Spain,Female,37,8,0,2,1,1,183318.79,0,1,SILVER,603,0
167,656,Spain,Female,40,10,167878.5,1,0,1,151887.16,0,5,PLATINUM,806,0
168,477,Spain,Female,48,2,129120.64,1,0,1,26475.79,0,3,GOLD,238,0
169,850,Spain,Male,35,7,110349.82,1,0,0,126355.8,0,2,PLATINUM,445,0
170,799,Spain,Female,28,3,142253.65,1,1,0,45042.56,0,1,SILVER,395,0
171,839,Spain,Female,33,10,75592.43,1,1,0,62674.42,0,3,PLATINUM,497,0
172,696,Spain,Female,51,5,0,2,1,0,55022.43,0,4,SILVER,509,0
173,660,Spain,Female,33,1,0,2,0,0,117834.91,0,1,PLATINUM,485,0
174,752,Spain,Male,48,5,116060.08,1,1,0,156618.38,1,5,PLATINUM,265,1
175,729,Spain,Male,31,8,164870.81,2,1,1,9567.39,0,4,PLATINUM,249,0
176,549,Spain,Male,25,6,193858.2,1,0,1,21600.11,0,3,PLATINUM,737,0
177,694,Spain,Male,57,8,116326.07,1,1,1,117704.65,0,2,SILVER,988,0
178,695,Spain,Male,46,3,122549.64,1,1,1,56297.85,0,3,SILVER,520,0
179,640,Spain,Female,32,6,118879.35,2,1,1,19131.71,0,2,PLATINUM,869,0
180,529,Spain,Male,35,5,0,2,1,1,187288.5,0,2,PLATINUM,395,0
181,593,Spain,Female,38,4,88736.44,2,1,0,67020.03,0,5,PLATINUM,910,0
182,788,Spain,Female,70,1,0,2,1,1,41610.62,0,3,DIAMOND,844,0
183,684,Spain,Female,38,3,0,2,1,0,44255.65,0,4,SILVER,866,0
184,591,Spain,Male,58,5,128468.69,1,0,1,137254.55,0,2,GOLD,515,0
185,661,Spain,Male,42,2,178820.91,1,0,0,29358.57,1,1,PLATINUM,426,1
186,445,Spain,Male,62,1,64119.38,1,1,1,76569.64,1,5,PLATINUM,561,1
187,746,Spain,Male,36,2,0,2,1,1,16436.56,0,5,DIAMOND,718,0
188,594,Spain,Female,49,2,126615.94,2,0,1,123214.74,0,3,DIAMOND,650,0
189,574,Spain,Male,36,1,0,2,0,1,71709.12,0,2,DIAMOND,980,0
190,632,Spain,Male,38,1,120599.21,1,1,0,92816.86,0,3,DIAMOND,666,0
191,650,Spain,Female,25,3,86605.5,3,1,0,16649.31,1,2,GOLD,653,1
192,701,Spain,Female,42,5,0,2,0,0,24210.56,0,1,GOLD,282,0
193,672,Spain,Female,56,2,209767.31,2,1,1,150694.42,1,5,PLATINUM,742,1
194,459,Spain,Female,42,6,129634.25,2,1,1,177683.02,1,3,PLATINUM,326,1
195,657,Spain,Male,31,3,125167.02,1,0,0,98820.39,0,2,SILVER,225,0
196,816,Spain,Male,67,6,151858.98,1,1,1,72814.31,0,5,GOLD,459,0
197,450,Spain,Female,46,5,177619.71,1,1,0,54227.06,0,1,GOLD,238,0
198,727,Spain,Male,38,2,62276.99,1,1,1,59280.79,0,4,DIAMOND,757,0
199,838,Spain,Female,39,5,166733.92,2,1,0,14279.44,0,2,DIAMOND,917,0
200,736,Spain,Female,28,2,0,2,1,1,117431.1,0,3,PLATINUM,457,0
201,710,Spain,Female,27,2,135277.96,1,1,0,142200.15,0,4,SILVER,314,0
202,684,Spain,Male,41,2,119782.72,2,0,0,120284.67,0,2,GOLD,935,0
203,692,Spain,Male,28,9,118945.09,1,0,0,16064.25,1,3,SILVER,735,1
204,679,Spain,Female,35,8,119182.73,1,0,0,121210.09,0,3,SILVER,369,0
205,792,Spain,Male,36,5,92140.15,1,0,1,67468.67,0,3,SILVER,328,0
206,562,Spain,Female,35,0,0,2,1,0,119899.52,0,2,SILVER,814,0
207,704,Spain,Male,48,8,167997.6,1,1,1,173498.45,0,2,SILVER,970,0
208,511,Spain,Female,29,9,0,2,0,1,140676.98,0,4,DIAMOND,390,0
209,790,Spain,Female,46,9,0,1,0,0,14679.81,1,3,SILVER,258,1
210,681,Spain,Male,65,7,134714.7,2,0,1,190419.81,0,3,GOLD,854,0
211,516,Spain,Female,33,3,0,2,1,1,58685.59,0,2,PLATINUM,692,0
212,497,Spain,Male,27,9,75263.16,1,1,1,164825.04,0,5,GOLD,709,0
213,642,Spain,Male,34,8,0,1,1,0,72085.1,0,3,GOLD,323,0
214,732,Spain,Female,69,9,137453.43,1,0,1,110932.24,1,5,PLATINUM,719,1
215,600,Spain,Male,36,4,0,2,1,0,143635.36,0,1,GOLD,767,0
216,758,Spain,Male,56,1,0,2,1,1,10643.38,0,4,PLATINUM,408,0
217,708,Spain,Female,41,5,0,1,0,1,157003.99,0,3,SILVER,256,0
218,694,Spain,Female,37,3,0,2,1,1,147012.22,0,3,DIAMOND,245,0
219,553,Spain,Female,48,3,0,1,0,1,30730.95,1,3,PLATINUM,421,1
220,773,Spain,Female,41,5,0,1,1,0,28266.9,1,4,DIAMOND,497,1
221,611,Spain,Male,51,1,122874.74,1,1,1,149648.45,0,1,PLATINUM,247,0
222,523,Spain,Male,32,4,0,2,1,0,167848.02,0,3,DIAMOND,480,0
223,741,Spain,Male,39,7,143637.58,2,0,1,174227.66,0,4,PLATINUM,437,0
224,456,Spain,Male,32,9,147506.25,1,1,1,135399.21,0,3,DIAMOND,454,0
225,652,Spain,Female,42,4,0,2,1,1,38152.01,0,5,GOLD,230,0
226,739,Spain,Male,38,0,128366.44,1,1,0,12796.43,0,3,PLATINUM,631,0
227,788,Spain,Male,37,8,141541.25,1,0,0,66013.27,0,4,DIAMOND,582,0
228,685,Spain,Male,31,10,135213.71,1,1,1,125777.28,0,4,GOLD,444,0
229,806,Spain,Male,25,7,0,2,1,0,18461.9,0,4,PLATINUM,767,0
230,648,Spain,Female,53,6,111201.41,1,1,1,121542.29,0,4,PLATINUM,715,0
231,545,Spain,Female,32,4,0,1,1,0,94739.2,0,1,PLATINUM,319,0
232,784,Spain,Male,35,3,0,2,0,0,81483.64,0,2,PLATINUM,469,0
233,552,Spain,Male,45,9,0,2,1,0,26752.56,0,2,DIAMOND,723,0
234,609,Spain,Male,61,1,0,1,1,0,22447.85,1,5,PLATINUM,400,1
235,738,Spain,Male,35,3,0,1,1,1,15650.73,0,2,DIAMOND,766,0
236,661,Spain,Male,39,6,132628.98,1,0,0,38812.67,0,5,DIAMOND,581,0
237,512,Spain,Male,36,1,0,1,0,1,135482.26,1,4,PLATINUM,795,1
238,592,Spain,Male,37,9,0,3,1,1,10656.89,0,1,DIAMOND,413,0
239,710,Spain,Male,35,1,106518.52,1,1,1,127951.81,0,4,PLATINUM,939,0
240,697,Spain,Female,25,5,82931.85,2,1,1,128373.88,0,1,PLATINUM,282,0
241,599,Spain,Female,39,4,0,1,1,0,194273.2,1,3,PLATINUM,543,1
242,694,Spain,Male,39,0,107042.74,1,1,1,102284.2,0,4,PLATINUM,297,0
243,665,Spain,Female,42,2,156371.61,2,0,1,156774.94,1,3,DIAMOND,553,1
244,807,Spain,Female,43,0,0,2,0,1,85523.24,0,5,PLATINUM,660,0
245,771,Spain,Female,67,8,0,2,1,1,51219.8,0,1,GOLD,352,0
246,531,Spain,Male,27,8,132576.25,1,0,0,7222.92,0,5,SILVER,835,0
247,685,Spain,Male,35,4,137948.51,1,1,0,113639.64,0,1,PLATINUM,404,0
248,642,Spain,Male,32,7,100433.8,1,1,1,39768.59,0,2,PLATINUM,479,0
249,529,Spain,Male,63,4,96134.11,3,1,0,108732.96,1,3,GOLD,693,1
250,637,Spain,Female,34,9,0,2,0,0,26057.08,0,5,GOLD,365,0
251,750,Spain,Female,38,7,97257.41,2,0,1,179883.04,0,3,DIAMOND,324,0
252,750,Spain,Female,36,8,112940.07,1,0,1,9855.81,0,3,GOLD,447,0
253,569,Spain,Male,34,0,151839.26,1,1,0,102299.81,1,1,SILVER,268,1
254,659,Spain,Male,31,7,149620.88,2,1,1,104533.51,0,5,SILVER,417,0
255,661,Spain,Female,28,7,95357.49,1,0,0,102297.15,0,5,GOLD,508,0
256,838,Spain,Male,43,9,123105.88,2,1,0,145765.83,0,3,SILVER,376,0
257,610,Spain,Male,29,9,0,3,0,1,83912.24,0,5,SILVER,691,0
258,811,Spain,Male,44,3,0,2,0,1,78439.73,0,5,PLATINUM,859,0
259,587,Spain,Male,62,7,121286.27,1,0,1,6776.92,0,5,DIAMOND,500,0
260,561,Spain,Female,33,6,0,2,1,0,45261.47,0,1,DIAMOND,704,0
261,650,Spain,Male,71,0,0,1,1,1,175380.77,0,5,GOLD,928,0
262,719,Spain,Male,35,3,122964.88,1,1,1,138231.7,0,4,DIAMOND,411,0
263,635,Spain,Male,24,4,0,2,1,1,70668.77,0,2,GOLD,506,0
264,496,Spain,Female,43,3,0,2,0,1,199505.53,0,1,SILVER,494,0
265,485,Spain,Male,32,6,102238.01,2,1,1,194010.12,0,4,PLATINUM,784,0
266,828,Spain,Male,34,9,0,2,1,1,81853.98,0,5,SILVER,766,0
267,609,Spain,Male,53,10,0,1,1,1,154642.91,0,3,SILVER,498,0
268,830,Spain,Male,40,4,0,2,0,1,81622.52,0,5,DIAMOND,543,0
269,678,Spain,Male,30,0,0,1,1,0,35113.08,0,4,GOLD,965,0
270,580,Spain,Male,67,3,153946.14,1,1,1,7418.92,0,5,PLATINUM,221,0
271,630,Spain,Female,39,7,135483.17,1,1,0,140881.2,1,1,SILVER,309,1
272,588,Spain,Male,34,6,121132.26,2,1,0,86460.28,0,3,DIAMOND,468,0
273,807,Spain,Female,42,1,0,1,1,0,16500.66,1,2,DIAMOND,406,1
274,625,Spain,Female,49,2,80816.45,1,1,1,20018.79,0,1,PLATINUM,677,0
275,600,Spain,Female,50,6,94684.27,1,1,1,50488.91,0,3,DIAMOND,981,0
276,602,Spain,Female,22,7,141604.76,1,1,0,30379.6,0,2,PLATINUM,943,0
277,545,Spain,Female,74,3,0,2,1,1,161326.73,0,2,SILVER,423,0
278,675,Spain,Male,33,3,0,2,1,0,45348.08,0,5,GOLD,487,0
279,490,Spain,Female,48,8,155413.06,1,1,0,187921.3,0,3,GOLD,319,0
280,710,Spain,Female,38,4,0,2,1,1,136390.88,0,4,DIAMOND,411,0
281,624,Spain,Female,23,6,0,2,0,1,196668.51,0,5,SILVER,888,0
282,503,Spain,Male,37,6,0,2,0,0,136506.86,0,3,SILVER,717,0
283,702,Spain,Male,39,8,0,2,1,0,99654.13,0,4,DIAMOND,876,0
284,461,Spain,Female,35,8,0,1,1,0,132295.95,0,3,SILVER,963,0
285,688,Spain,Male,36,0,89772.3,1,1,0,177383.68,1,5,DIAMOND,663,1
286,850,Spain,Male,22,2,0,2,1,1,9684.52,0,1,GOLD,793,0
287,494,Spain,Male,38,7,0,2,1,1,6203.66,0,3,PLATINUM,527,0
288,703,Spain,Male,29,9,0,2,1,0,50679.48,0,3,DIAMOND,242,0
289,432,Spain,Male,38,7,0,2,1,0,150580.88,0,1,PLATINUM,716,0
290,479,Spain,Male,48,5,87070.23,1,0,1,85646.41,0,3,SILVER,523,0
291,617,Spain,Male,61,7,91070.43,1,1,1,101839.77,0,2,DIAMOND,647,0
292,756,Spain,Male,29,2,117412.19,2,1,0,4888.91,0,1,DIAMOND,565,0
293,606,Spain,Male,35,7,0,1,1,0,106837.06,1,5,SILVER,418,1
294,663,Spain,Female,33,8,122528.18,1,1,0,196260.3,0,4,SILVER,261,0
295,500,Spain,Male,37,9,125822.21,1,1,0,111698,0,5,PLATINUM,266,0
296,727,Spain,Female,57,1,109679.72,1,0,1,753.37,0,5,SILVER,841,0
297,793,Spain,Male,41,9,0,2,1,0,152153.74,0,4,GOLD,987,0
298,613,Spain,Male,34,3,0,1,1,1,41724.72,0,2,GOLD,474,0
299,826,Spain,Female,29,4,129938.07,1,0,1,190200.53,0,1,GOLD,708,0
300,538,Spain,Male,39,2,122773.5,2,1,1,58467.08,0,5,PLATINUM,419,0
301,700,Spain,Male,54,1,79415.67,1,0,1,139735.54,0,5,PLATINUM,546,0
302,729,Spain,Male,37,10,0,2,1,0,100862.54,0,3,SILVER,829,0
303,699,Spain,Male,26,6,79932.41,1,0,0,150242.44,0,4,SILVER,874,0
304,478,Spain,Female,36,3,92363.3,2,1,0,44912.7,0,4,DIAMOND,480,0
305,705,Spain,Female,40,5,203715.15,1,1,0,179978.68,1,2,DIAMOND,801,1
306,719,Spain,Male,39,5,0,2,1,0,145759.7,0,1,SILVER,337,0
307,785,Spain,Female,61,4,129855.72,2,1,0,170214.82,1,4,SILVER,766,1
308,363,Spain,Female,28,6,146098.43,3,1,0,100615.14,1,2,SILVER,324,1
309,590,Spain,Female,34,6,0,2,1,0,171021.44,0,4,PLATINUM,360,0
310,584,Spain,Male,32,5,0,2,1,0,10956.82,0,1,PLATINUM,735,0
311,610,Spain,Male,42,6,0,2,1,0,158302.59,1,5,DIAMOND,237,1
312,579,Spain,Male,33,6,0,1,1,0,94993.04,1,4,PLATINUM,266,1
313,745,Spain,Female,54,8,0,1,1,0,173912.29,1,1,GOLD,447,1
314,699,Spain,Male,47,1,0,2,0,1,30117.44,0,3,SILVER,788,0
315,500,Spain,Female,47,8,128486.11,1,1,0,179227.12,0,4,SILVER,641,0
316,707,Spain,Female,53,6,109663.47,1,1,1,52110.45,0,1,SILVER,416,0
